Img name,Layer2 In,Layer2 Out,Layer5 In,Layer5 Out,Layer8 In,Layer8 Out,Layer11 In,Layer11 Out
1665,0.324,0.373,0.138,0.151,0.139,0.221,3.22,3.198
1666,0.26,0.502,0.146,0.203,0.142,0.169,3.21,0.957
1667,0.329,0.353,0.132,0.137,0.108,0.231,2.693,2.801
1668,0.354,0.382,0.168,0.165,0.193,0.144,4.106,1.715
1669,0.378,0.176,0.15,0.153,0.155,0.182,4.155,3.969
167,0.263,0.252,0.14,0.181,0.152,0.254,2.867,3.233
1670,0.275,0.386,0.12,0.178,0.131,0.211,2.378,2.413
1672,0.293,0.353,0.17,0.139,0.19,0.141,3.871,2.533
1673,0.373,0.205,0.139,0.13,0.164,0.162,4.024,2.388
1680,0.267,0.183,0.126,0.133,0.135,0.279,3.779,3.856
1681,0.233,0.384,0.125,0.193,0.152,0.177,3.044,2.289
1683,0.312,0.273,0.145,0.142,0.135,0.239,3.723,2.927
1684,0.303,0.383,0.154,0.172,0.151,0.179,3.36,2.319
